schedule_season,team,regular_season_mean_score,playoff_mean_score,regular_season_z_score,playoff_z_score
1970,Buffalo Bills,14.57,,-1.1749653857160156,
1970,Chicago Bears,18.29,,-0.2425511085052095,
1970,Cincinnati Bengals,22.29,0.0,0.7600448884956574,-1.5062888404146118
1970,Cleveland Browns,20.43,,0.29383774989025446,
1970,Dallas Cowboys,21.36,11.67,0.526941319192956,0.019447582945572146
1970,Denver Broncos,18.07,,-0.2976938883402569,
1970,Detroit Lions,24.79,0.0,1.3866673866211994,-1.5062888404146118
1970,Green Bay Packers,14.0,,-1.317835315288639,
1970,Indianapolis Colts,22.93,20.0,0.9204602480157963,1.1085122278976143
1970,Kansas City Chiefs,19.43,,0.04318875064003773,
1970,Las Vegas Raiders,21.43,19.0,0.5444867491404712,0.977772174482003
1970,Los Angeles Chargers,20.14,,0.22114954010769183,
1970,Los Angeles Rams,23.21,,0.9906419678058573,
1970,Miami Dolphins,21.21,14.0,0.48934396930542384,0.3240719074039465
1970,Minnesota Vikings,23.93,14.0,1.1711092472660132,0.3240719074039465
1970,New England Patriots,10.64,,-2.1600159527693674,
1970,New Orleans Saints,12.29,,-1.7464451040065099,
1970,New York Giants,21.5,,0.5620321790879864,
1970,New York Jets,18.21,,-0.2626030284452264,
1970,Philadelphia Eagles,17.21,,-0.5132520276954432,
1970,Pittsburgh Steelers,15.0,,-1.0671863160384223,
1970,San Francisco 49ers,25.14,13.5,1.4743945363587756,0.25870188069614086
1970,Tennessee Titans,15.5,,-0.941861816413314,
1970,Washington Commanders,21.21,,0.48934396930542384,
1971,Arizona Cardinals,16.5,,-0.759683607038226,
1971,Atlanta Falcons,19.57,,0.05501403522687187,
1971,Buffalo Bills,13.14,,-1.6513396585075186,
1971,Chicago Bears,13.21,,-1.632763490768575,
1971,Cincinnati Bengals,20.29,,0.24608318911314858,
1971,Cleveland Browns,20.36,3.0,0.26465935685209224,-1.784623463173326
1971,Dallas Cowboys,29.0,19.33,2.5574892034874166,0.6739150713512262
1971,Denver Broncos,14.5,,-1.2904312567223288,
1971,Detroit Lions,24.36,,1.326154656220298,
1971,Green Bay Packers,19.57,,0.05501403522687187,
1971,Indianapolis Colts,22.36,10.0,0.7954070065361951,-0.7307490148162
1971,Kansas City Chiefs,21.57,24.0,0.5857616849109747,1.376999881898052
1971,Las Vegas Raiders,24.57,,1.381883159437129,
1971,Los Angeles Chargers,22.21,,0.7556009328098877,
1971,Los Angeles Rams,22.36,,0.7954070065361951,
1971,Miami Dolphins,22.5,17.0,0.8325593420140824,0.323125433540926
1971,Minnesota Vikings,17.5,12.0,-0.49430978219617466,-0.42964202957130687
1971,New England Patriots,17.0,,-0.6269966946172003,
1971,New Orleans Saints,19.0,,-0.09624904493309752,
1971,New York Giants,16.29,,-0.8154121102550571,
1971,New York Jets,15.14,,-1.1205920088234158,
1971,Philadelphia Eagles,15.79,,-0.9480990226760828,
1971,Pittsburgh Steelers,17.57,,-0.47573361445723095,
1971,San Francisco 49ers,21.43,13.5,0.5486093494330874,-0.20381179063763702
1971,Tennessee Titans,17.93,,-0.3801990375140926,
1971,Washington Commanders,19.71,20.0,0.09216637070475922,0.7747859114082657
